cons_d,entry_range,tp_ratio,hold,n,win_rate,mean,median,p10,p90,score
30,$1.05-$1.15,1.1,30,34,0.9705882352941176,0.0707975622681506,0.08000000000000008,0.08000000000000008,0.08000000000000008,1.0482352941176472
30,$1.05-$1.15,1.1,60,34,0.9705882352941176,0.0703762586115528,0.08000000000000008,0.08000000000000008,0.08000000000000008,1.0482352941176472
30,$1.05-$1.15,1.1,90,34,0.9705882352941176,0.07397456279809228,0.08000000000000008,0.08000000000000008,0.08000000000000008,1.0482352941176472
30,$1.05-$1.15,1.15,30,34,0.8823529411764706,0.09418821859443594,0.12999999999999992,-0.00688090050835144,0.12999999999999992,0.876281558374984
30,$1.05-$1.15,1.15,60,34,0.9117647058823529,0.10106070968311674,0.12999999999999992,0.12999999999999992,0.12999999999999992,1.0302941176470588
30,$1.05-$1.15,1.15,90,34,0.9411764705882353,0.10949300746409414,0.12999999999999992,0.12999999999999992,0.12999999999999992,1.0635294117647058
30,$1.05-$1.15,1.2,30,34,0.8235294117647058,0.11999918963032051,0.17999999999999997,-0.09561014572987496,0.17999999999999997,0.7447916446930442
30,$1.05-$1.15,1.2,60,34,0.8823529411764706,0.13255791490004515,0.17999999999999997,-0.009557522123893672,0.17999999999999997,0.8739198334200937
30,$1.05-$1.15,1.2,90,34,0.9117647058823529,0.14521033511913806,0.17999999999999997,0.17999999999999997,0.17999999999999997,1.0758823529411763
30,$1.05-$1.15,1.3,30,34,0.6764705882352942,0.15009274670117864,0.28,-0.14620857699805062,0.28,0.5775647861483776
30,$1.05-$1.15,1.3,60,34,0.7941176470588235,0.18151880308306967,0.28,-0.2264134660976766,0.28,0.6143187180989038
30,$1.05-$1.15,1.3,90,34,0.8529411764705882,0.2038957820251733,0.28,-0.10144111969111971,0.28,0.7664178684987508
30,$1.05-$1.15,1.5,30,34,0.6176470588235294,0.2126753786689839,0.46684210526315795,-0.2248370225429049,0.48,0.4787771331352646
30,$1.05-$1.15,1.5,60,34,0.7058823529411765,0.2574025116479556,0.48,-0.28614617685405325,0.48,0.5038968163383154
30,$1.05-$1.15,1.5,90,34,0.7941176470588235,0.3267098390489489,0.48,-0.27738696162225573,0.48,0.5738397657705616
