train_size,test_size,test_baseline_winrate,test_baseline_return,log_take_n,log_winrate,log_meanret,log_alpha,rf_take_n,rf_winrate,rf_meanret,rf_alpha
30,5,0.2,-0.020000000000000004,3,0.3333333333333333,0.0,0.020000000000000004,3,0.3333333333333333,0.0,0.020000000000000004
35,5,0.2,-0.02000000000000002,2,0.5,0.025,0.045000000000000026,3,0.3333333333333333,0.0,0.02000000000000002
40,5,0.6,0.040000000000000036,0,,,,1,1.0,0.1,0.05999999999999997
45,5,0.2,-0.02,2,0.5,0.025,0.045,4,0.25,-0.012500000000000025,0.0074999999999999754
50,5,0.2,-0.019999999999999983,4,0.25,-0.012500000000000004,0.007499999999999979,4,0.25,-0.012500000000000004,0.007499999999999979
55,5,0.4,0.009999999999999962,3,0.6666666666666666,0.04999999999999997,0.04000000000000001,4,0.25,-0.01250000000000005,-0.022500000000000013
60,5,0.4,0.009999999999999981,1,0.0,-0.0500000000000001,-0.06000000000000008,3,0.3333333333333333,-3.23815048849004e-17,-0.010000000000000014
65,5,0.4,0.009999999999999981,1,0.0,-0.0500000000000001,-0.06000000000000008,3,0.3333333333333333,-3.23815048849004e-17,-0.010000000000000014
70,5,0.0,-0.049999999999999975,2,0.0,-0.04999999999999995,2.7755575615628914e-17,2,0.0,-0.04999999999999995,2.7755575615628914e-17
75,5,0.0,-0.05,5,0.0,-0.05,0.0,5,0.0,-0.05,0.0
80,5,0.2,-0.02000000000000002,4,0.25,-0.012500000000000025,0.007499999999999996,3,0.3333333333333333,-3.23815048849004e-17,0.01999999999999999
85,5,0.0,-0.050000000000000044,3,0.0,-0.05000000000000004,6.938893903907228e-18,4,0.0,-0.050000000000000044,0.0
90,5,0.0,-0.050000000000000024,1,0.0,-0.0500000000000001,-7.632783294297951e-17,3,0.0,-0.05000000000000004,-1.3877787807814457e-17
